obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	ecmwf_dates	ecmwf_ws_table_h	ecmwf_ws_table	ecmwf_station_names
632	2025-11-14	9	2.1	KOZANI (AIRPORT)	2025-11-13	33	0.708774	KOZANI (AIRPORT)
632	2025-11-15	9	1.5	KOZANI (AIRPORT)	2025-11-14	33	0.513024	KOZANI (AIRPORT)
632	2025-11-16	9	1.5	KOZANI (AIRPORT)	2025-11-15	33	0.89304	KOZANI (AIRPORT)
632	2025-11-17	9	0	KOZANI (AIRPORT)	2025-11-16	33	0.762768	KOZANI (AIRPORT)
632	2025-11-18	9	0	KOZANI (AIRPORT)	2025-11-17	33	1.02699	KOZANI (AIRPORT)
632	2025-11-19	9	1.5	KOZANI (AIRPORT)	2025-11-18	33	0.942168	KOZANI (AIRPORT)
632	2025-11-20	9	2.1	KOZANI (AIRPORT)	2025-11-19	33	1.6511	KOZANI (AIRPORT)
632	2025-11-21	9	0	KOZANI (AIRPORT)	2025-11-20	33	2.15166	KOZANI (AIRPORT)
632	2025-11-22	9	4	KOZANI (AIRPORT)	2025-11-21	33	1.37698	KOZANI (AIRPORT)
632	2025-11-23	9	9	KOZANI (AIRPORT)	2025-11-22	33	2.67441	KOZANI (AIRPORT)
632	2025-11-24	9	2.1	KOZANI (AIRPORT)	2025-11-23	33	0.617568	KOZANI (AIRPORT)
632	2025-11-25	9	1.5	KOZANI (AIRPORT)	2025-11-24	33	0.523316	KOZANI (AIRPORT)
632	2025-11-26	9	2.1	KOZANI (AIRPORT)	2025-11-25	33	1.39384	KOZANI (AIRPORT)
632	2025-11-27	9	0	KOZANI (AIRPORT)	2025-11-26	33	1.31678	KOZANI (AIRPORT)
632	2025-11-28	9	0	KOZANI (AIRPORT)	2025-11-27	33	2.01231	KOZANI (AIRPORT)
632	2025-11-29	9	8	KOZANI (AIRPORT)	2025-11-28	33	0.991013	KOZANI (AIRPORT)
632	2025-11-30	9	0	KOZANI (AIRPORT)	2025-11-29	33	1.01263	KOZANI (AIRPORT)
641	2025-11-02	9	0	KERKYRA (AIRPORT)	2025-11-01	33	1.25938	KERKYRA (AIRPORT)
641	2025-11-03	9	6.2	KERKYRA (AIRPORT)	2025-11-02	33	5.99052	KERKYRA (AIRPORT)
641	2025-11-04	9	1	KERKYRA (AIRPORT)	2025-11-03	33	1.92637	KERKYRA (AIRPORT)
641	2025-11-05	9	0	KERKYRA (AIRPORT)	2025-11-04	33	1.32028	KERKYRA (AIRPORT)
641	2025-11-06	9	1.5	KERKYRA (AIRPORT)	2025-11-05	33	1.45363	KERKYRA (AIRPORT)
641	2025-11-07	9	2.6	KERKYRA (AIRPORT)	2025-11-06	33	4.04197	KERKYRA (AIRPORT)
641	2025-11-08	9	4.1	KERKYRA (AIRPORT)	2025-11-07	33	6.38069	KERKYRA (AIRPORT)
641	2025-11-09	9	6	KERKYRA (AIRPORT)	2025-11-08	33	8.26804	KERKYRA (AIRPORT)
641	2025-11-10	9	2.1	KERKYRA (AIRPORT)	2025-11-09	33	9.29002	KERKYRA (AIRPORT)
641	2025-11-11	9	2.6	KERKYRA (AIRPORT)	2025-11-10	33	3.22896	KERKYRA (AIRPORT)
641	2025-11-12	9	0	KERKYRA (AIRPORT)	2025-11-11	33	0.463698	KERKYRA (AIRPORT)
641	2025-11-13	9	0	KERKYRA (AIRPORT)	2025-11-12	33	0.306096	KERKYRA (AIRPORT)
641	2025-11-14	9	2.1	KERKYRA (AIRPORT)	2025-11-13	33	1.46407	KERKYRA (AIRPORT)
641	2025-11-15	9	0	KERKYRA (AIRPORT)	2025-11-14	33	2.00959	KERKYRA (AIRPORT)
641	2025-11-16	9	0	KERKYRA (AIRPORT)	2025-11-15	33	1.95749	KERKYRA (AIRPORT)
641	2025-11-17	9	6.2	KERKYRA (AIRPORT)	2025-11-16	33	8.15957	KERKYRA (AIRPORT)
641	2025-11-18	9	7.7	KERKYRA (AIRPORT)	2025-11-17	33	7.42016	KERKYRA (AIRPORT)
641	2025-11-19	9	1.5	KERKYRA (AIRPORT)	2025-11-18	33	5.47094	KERKYRA (AIRPORT)
641	2025-11-20	9	7.7	KERKYRA (AIRPORT)	2025-11-19	33	4.89067	KERKYRA (AIRPORT)
641	2025-11-21	9	3.1	KERKYRA (AIRPORT)	2025-11-20	33	4.15805	KERKYRA (AIRPORT)
641	2025-11-22	9	3.1	KERKYRA (AIRPORT)	2025-11-21	33	4.52998	KERKYRA (AIRPORT)
641	2025-11-23	9	5.7	KERKYRA (AIRPORT)	2025-11-22	33	3.65489	KERKYRA (AIRPORT)
641	2025-11-24	9	0	KERKYRA (AIRPORT)	2025-11-23	33	2.48909	KERKYRA (AIRPORT)
641	2025-11-25	9	5.1	KERKYRA (AIRPORT)	2025-11-24	33	7.30368	KERKYRA (AIRPORT)
641	2025-11-26	9	6.2	KERKYRA (AIRPORT)	2025-11-25	33	7.19176	KERKYRA (AIRPORT)
641	2025-11-27	9	4.6	KERKYRA (AIRPORT)	2025-11-26	33	6.92238	KERKYRA (AIRPORT)
641	2025-11-28	9	4.1	KERKYRA (AIRPORT)	2025-11-27	33	5.17715	KERKYRA (AIRPORT)
641	2025-11-29	9	1.5	KERKYRA (AIRPORT)	2025-11-28	33	2.41536	KERKYRA (AIRPORT)
641	2025-11-30	9	1.5	KERKYRA (AIRPORT)	2025-11-29	33	3.9767	KERKYRA (AIRPORT)
642	2025-11-02	9	0.5	IOANNINA (AIRPORT)	2025-11-01	33	0.210621	IOANNINA (AIRPORT)
642	2025-11-03	9	1	IOANNINA (AIRPORT)	2025-11-02	33	1.38434	IOANNINA (AIRPORT)
642	2025-11-04	9	0.5	IOANNINA (AIRPORT)	2025-11-03	33	0.62589	IOANNINA (AIRPORT)
642	2025-11-05	9	1.5	IOANNINA (AIRPORT)	2025-11-04	33	1.35357	IOANNINA (AIRPORT)
642	2025-11-06	9	1	IOANNINA (AIRPORT)	2025-11-05	33	0.452591	IOANNINA (AIRPORT)
642	2025-11-07	9	1	IOANNINA (AIRPORT)	2025-11-06	33	1.0627	IOANNINA (AIRPORT)
642	2025-11-08	9	2.1	IOANNINA (AIRPORT)	2025-11-07	33	2.38173	IOANNINA (AIRPORT)
642	2025-11-09	9	4.6	IOANNINA (AIRPORT)	2025-11-08	33	2.96298	IOANNINA (AIRPORT)
642	2025-11-10	9	4.1	IOANNINA (AIRPORT)	2025-11-09	33	1.64554	IOANNINA (AIRPORT)
642	2025-11-11	9	0.5	IOANNINA (AIRPORT)	2025-11-10	33	0.836126	IOANNINA (AIRPORT)
642	2025-11-12	9	1	IOANNINA (AIRPORT)	2025-11-11	33	0.501563	IOANNINA (AIRPORT)
642	2025-11-13	9	0.5	IOANNINA (AIRPORT)	2025-11-12	33	0.270202	IOANNINA (AIRPORT)
642	2025-11-14	9	0.5	IOANNINA (AIRPORT)	2025-11-13	33	0.504279	IOANNINA (AIRPORT)
642	2025-11-15	9	1	IOANNINA (AIRPORT)	2025-11-14	33	0.571249	IOANNINA (AIRPORT)
642	2025-11-16	9	1	IOANNINA (AIRPORT)	2025-11-15	33	0.60682	IOANNINA (AIRPORT)
642	2025-11-17	9	0.5	IOANNINA (AIRPORT)	2025-11-16	33	1.66577	IOANNINA (AIRPORT)
642	2025-11-18	9	4.6	IOANNINA (AIRPORT)	2025-11-17	33	2.05532	IOANNINA (AIRPORT)
642	2025-11-19	9	1	IOANNINA (AIRPORT)	2025-11-18	33	1.70379	IOANNINA (AIRPORT)
