obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
622	2025-10-28	12	10.3	THESSALONIKI (AIRPORT)	2025-10-28	12	8.05014	THESSALONIKI (AIRPORT)
622	2025-10-29	12	2.1	THESSALONIKI (AIRPORT)	2025-10-29	12	1.56611	THESSALONIKI (AIRPORT)
622	2025-10-30	12	2.6	THESSALONIKI (AIRPORT)	2025-10-30	12	2.17244	THESSALONIKI (AIRPORT)
622	2025-10-31	12	1.5	THESSALONIKI (AIRPORT)	2025-10-31	12	0.993135	THESSALONIKI (AIRPORT)
624	2025-10-01	12	2.6	CHRYSOPOULI (AIRPORT)	2025-10-01	12	1.28193	CHRYSOPOULI (AIRPORT)
624	2025-10-02	12	3.6	CHRYSOPOULI (AIRPORT)	2025-10-02	12	6.74458	CHRYSOPOULI (AIRPORT)
624	2025-10-03	12	3.6	CHRYSOPOULI (AIRPORT)	2025-10-03	12	2.98089	CHRYSOPOULI (AIRPORT)
624	2025-10-04	12	4.1	CHRYSOPOULI (AIRPORT)	2025-10-04	12	3.72611	CHRYSOPOULI (AIRPORT)
624	2025-10-05	12	4.6	CHRYSOPOULI (AIRPORT)	2025-10-05	12	4.00584	CHRYSOPOULI (AIRPORT)
624	2025-10-06	12	2.1	CHRYSOPOULI (AIRPORT)	2025-10-06	12	2.14762	CHRYSOPOULI (AIRPORT)
624	2025-10-07	12	0	CHRYSOPOULI (AIRPORT)	2025-10-07	12	2.17436	CHRYSOPOULI (AIRPORT)
624	2025-10-08	12	3.6	CHRYSOPOULI (AIRPORT)	2025-10-08	12	2.85761	CHRYSOPOULI (AIRPORT)
624	2025-10-09	12	5.7	CHRYSOPOULI (AIRPORT)	2025-10-09	12	3.90133	CHRYSOPOULI (AIRPORT)
624	2025-10-10	12	3.1	CHRYSOPOULI (AIRPORT)	2025-10-10	12	3.01737	CHRYSOPOULI (AIRPORT)
624	2025-10-11	12	1.5	CHRYSOPOULI (AIRPORT)	2025-10-11	12	2.55316	CHRYSOPOULI (AIRPORT)
624	2025-10-12	12	4.1	CHRYSOPOULI (AIRPORT)	2025-10-12	12	1.91864	CHRYSOPOULI (AIRPORT)
