obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
642	2025-10-02	IOANNINA (AIRPORT)	18	100	2025-10-02	18	78.1348
642	2025-10-03	IOANNINA (AIRPORT)	18	88	2025-10-03	18	75.875
642	2025-10-04	IOANNINA (AIRPORT)	18	75	2025-10-04	18	3.38086
642	2025-10-05	IOANNINA (AIRPORT)	18	75	2025-10-05	18	100
642	2025-10-06	IOANNINA (AIRPORT)	18	50	2025-10-06	18	30.7617
642	2025-10-07	IOANNINA (AIRPORT)	18	38	2025-10-07	18	14.334
642	2025-10-08	IOANNINA (AIRPORT)	18	50	2025-10-08	18	1.5957
642	2025-10-09	IOANNINA (AIRPORT)	18	0	2025-10-09	18	0
642	2025-10-10	IOANNINA (AIRPORT)	18	38	2025-10-10	18	80.2285
642	2025-10-11	IOANNINA (AIRPORT)	18	25	2025-10-11	18	26.3945
642	2025-10-12	IOANNINA (AIRPORT)	18	0	2025-10-12	18	9.96094
642	2025-10-13	IOANNINA (AIRPORT)	18	100	2025-10-13	18	75.5332
642	2025-10-14	IOANNINA (AIRPORT)	18	13	2025-10-14	18	0.216797
642	2025-10-15	IOANNINA (AIRPORT)	18	63	2025-10-15	18	99.9297
642	2025-10-16	IOANNINA (AIRPORT)	18	75	2025-10-16	18	100
642	2025-10-17	IOANNINA (AIRPORT)	18	75	2025-10-17	18	96.3633
642	2025-10-18	IOANNINA (AIRPORT)	18	50	2025-10-18	18	99.8535
642	2025-10-19	IOANNINA (AIRPORT)	18	25	2025-10-19	18	5.08984
642	2025-10-20	IOANNINA (AIRPORT)	18	50	2025-10-20	18	47.4023
642	2025-10-21	IOANNINA (AIRPORT)	18	38	2025-10-21	18	78.0332
642	2025-10-22	IOANNINA (AIRPORT)	18	88	2025-10-22	18	66.5625
642	2025-10-23	IOANNINA (AIRPORT)	18	63	2025-10-23	18	99.8906
642	2025-10-24	IOANNINA (AIRPORT)	18	13	2025-10-24	18	0.140625
642	2025-10-25	IOANNINA (AIRPORT)	18	25	2025-10-25	18	87.2188
642	2025-10-26	IOANNINA (AIRPORT)	18	75	2025-10-26	18	98.9375
642	2025-10-27	IOANNINA (AIRPORT)	18	13	2025-10-27	18	0.00390625
642	2025-10-28	IOANNINA (AIRPORT)	18	0	2025-10-28	18	0.607422
642	2025-10-29	IOANNINA (AIRPORT)	18	38	2025-10-29	18	57.3887
642	2025-10-30	IOANNINA (AIRPORT)	18	75	2025-10-30	18	99.6191
642	2025-10-31	IOANNINA (AIRPORT)	18	75	2025-10-31	18	99.8145
643	2025-10-01	AKTION (AIRPORT)	18	88	2025-10-01	18	100
643	2025-10-02	AKTION (AIRPORT)	18	63	2025-10-02	18	86.5059
643	2025-10-03	AKTION (AIRPORT)	18	88	2025-10-03	18	55.9082
643	2025-10-04	AKTION (AIRPORT)	18	38	2025-10-04	18	55.9082
643	2025-10-05	AKTION (AIRPORT)	18	75	2025-10-05	18	89.3281
643	2025-10-06	AKTION (AIRPORT)	18	50	2025-10-06	18	13.6133
643	2025-10-07	AKTION (AIRPORT)	18	50	2025-10-07	18	17.7363
643	2025-10-08	AKTION (AIRPORT)	18	25	2025-10-08	18	0.136719
643	2025-10-09	AKTION (AIRPORT)	18	25	2025-10-09	18	0
643	2025-10-10	AKTION (AIRPORT)	18	38	2025-10-10	18	6.23438
643	2025-10-11	AKTION (AIRPORT)	18	0	2025-10-11	18	4.83984
643	2025-10-12	AKTION (AIRPORT)	18	13	2025-10-12	18	0
643	2025-10-13	AKTION (AIRPORT)	18	50	2025-10-13	18	99.9902
643	2025-10-14	AKTION (AIRPORT)	18	13	2025-10-14	18	0.400391
643	2025-10-15	AKTION (AIRPORT)	18	38	2025-10-15	18	89.4531
643	2025-10-16	AKTION (AIRPORT)	18	100	2025-10-16	18	100
643	2025-10-17	AKTION (AIRPORT)	18	88	2025-10-17	18	21.2734
643	2025-10-18	AKTION (AIRPORT)	18	38	2025-10-18	18	100
643	2025-10-19	AKTION (AIRPORT)	18	75	2025-10-19	18	23.8008
643	2025-10-20	AKTION (AIRPORT)	18	38	2025-10-20	18	97.4707
643	2025-10-21	AKTION (AIRPORT)	18	50	2025-10-21	18	84.3418
643	2025-10-22	AKTION (AIRPORT)	18	50	2025-10-22	18	100
643	2025-10-23	AKTION (AIRPORT)	18	63	2025-10-23	18	99.9688
643	2025-10-24	AKTION (AIRPORT)	18	25	2025-10-24	18	20.9785
643	2025-10-25	AKTION (AIRPORT)	18	38	2025-10-25	18	97.7969
643	2025-10-26	AKTION (AIRPORT)	18	38	2025-10-26	18	18.2441
643	2025-10-27	AKTION (AIRPORT)	18	25	2025-10-27	18	0.00390625
643	2025-10-28	AKTION (AIRPORT)	18	13	2025-10-28	18	3.17773
643	2025-10-29	AKTION (AIRPORT)	18	0	2025-10-29	18	0.412109
643	2025-10-30	AKTION (AIRPORT)	18	38	2025-10-30	18	99.8809
643	2025-10-31	AKTION (AIRPORT)	18	63	2025-10-31	18	67.4902
648	2025-10-01	LARISSA (AIRPORT)	18	88	2025-10-01	18	97.9336
648	2025-10-02	LARISSA (AIRPORT)	18	100	2025-10-02	18	100
648	2025-10-03	LARISSA (AIRPORT)	18	75	2025-10-03	18	98.6582
648	2025-10-04	LARISSA (AIRPORT)	18	25	2025-10-04	18	14.2949
648	2025-10-05	LARISSA (AIRPORT)	18	38	2025-10-05	18	3.09766
648	2025-10-06	LARISSA (AIRPORT)	18	75	2025-10-06	18	89.1152
648	2025-10-07	LARISSA (AIRPORT)	18	75	2025-10-07	18	62.8145
648	2025-10-08	LARISSA (AIRPORT)	18	50	2025-10-08	18	55.7246
648	2025-10-09	LARISSA (AIRPORT)	18	13	2025-10-09	18	0
648	2025-10-10	LARISSA (AIRPORT)	18	25	2025-10-10	18	96.375
648	2025-10-11	LARISSA (AIRPORT)	18	25	2025-10-11	18	27.9961
648	2025-10-12	LARISSA (AIRPORT)	18	13	2025-10-12	18	0
