obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
642	2025-11-18	IOANNINA (AIRPORT)	18	100	2025-11-18	18	100
642	2025-11-19	IOANNINA (AIRPORT)	18	100	2025-11-19	18	100
642	2025-11-20	IOANNINA (AIRPORT)	18	88	2025-11-20	18	100
642	2025-11-21	IOANNINA (AIRPORT)	18	88	2025-11-21	18	76.7871
642	2025-11-22	IOANNINA (AIRPORT)	18	88	2025-11-22	18	96.1797
642	2025-11-23	IOANNINA (AIRPORT)	18	38	2025-11-23	18	57.1289
642	2025-11-24	IOANNINA (AIRPORT)	18	75	2025-11-24	18	100
642	2025-11-25	IOANNINA (AIRPORT)	18	88	2025-11-25	18	100
642	2025-11-26	IOANNINA (AIRPORT)	18	100	2025-11-26	18	100
642	2025-11-27	IOANNINA (AIRPORT)	18	75	2025-11-27	18	100
642	2025-11-28	IOANNINA (AIRPORT)	18	88	2025-11-28	18	100
642	2025-11-29	IOANNINA (AIRPORT)	18	88	2025-11-29	18	100
642	2025-11-30	IOANNINA (AIRPORT)	18	50	2025-11-30	18	63.7891
643	2025-11-01	AKTION (AIRPORT)	18	38	2025-11-01	18	5.87695
643	2025-11-02	AKTION (AIRPORT)	18	13	2025-11-02	18	54.5859
643	2025-11-03	AKTION (AIRPORT)	18	88	2025-11-03	18	99.4043
643	2025-11-04	AKTION (AIRPORT)	18	63	2025-11-04	18	80.4355
643	2025-11-05	AKTION (AIRPORT)	18	25	2025-11-05	18	16.9531
643	2025-11-06	AKTION (AIRPORT)	18	25	2025-11-06	18	7.66602
643	2025-11-07	AKTION (AIRPORT)	18	75	2025-11-07	18	100
643	2025-11-08	AKTION (AIRPORT)	18	38	2025-11-08	18	87.6426
643	2025-11-09	AKTION (AIRPORT)	18	88	2025-11-09	18	100
643	2025-11-10	AKTION (AIRPORT)	18	63	2025-11-10	18	87.791
643	2025-11-11	AKTION (AIRPORT)	18	25	2025-11-11	18	42.9258
643	2025-11-12	AKTION (AIRPORT)	18	13	2025-11-12	18	0
643	2025-11-13	AKTION (AIRPORT)	18	13	2025-11-13	18	5.12695
643	2025-11-14	AKTION (AIRPORT)	18	13	2025-11-14	18	66.6855
643	2025-11-15	AKTION (AIRPORT)	18	13	2025-11-15	18	97.0254
643	2025-11-16	AKTION (AIRPORT)	18	25	2025-11-16	18	40.2051
643	2025-11-17	AKTION (AIRPORT)	18	63	2025-11-17	18	100
643	2025-11-18	AKTION (AIRPORT)	18	0	2025-11-18	18	100
