obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
632	2025-11-06	KOZANI (AIRPORT)	21	1018.3	2025-11-05	45	1017.34
632	2025-11-07	KOZANI (AIRPORT)	21	1017.7	2025-11-06	45	1016.87
632	2025-11-08	KOZANI (AIRPORT)	21	1019	2025-11-07	45	1017.88
632	2025-11-09	KOZANI (AIRPORT)	21	1018.7	2025-11-08	45	1016.96
632	2025-11-10	KOZANI (AIRPORT)	21	1015	2025-11-09	45	1012.71
632	2025-11-11	KOZANI (AIRPORT)	21	1020.6	2025-11-10	45	1018.73
632	2025-11-12	KOZANI (AIRPORT)	21	1025.5	2025-11-11	45	1024.84
632	2025-11-13	KOZANI (AIRPORT)	21	1025.6	2025-11-12	45	1024.72
632	2025-11-14	KOZANI (AIRPORT)	21	1022.5	2025-11-13	45	1022.1
632	2025-11-15	KOZANI (AIRPORT)	21	1020	2025-11-14	45	1018.47
632	2025-11-16	KOZANI (AIRPORT)	21	1022.6	2025-11-15	45	1020.01
632	2025-11-17	KOZANI (AIRPORT)	21	1017.7	2025-11-16	45	1016.82
632	2025-11-18	KOZANI (AIRPORT)	21	1017.9	2025-11-17	45	1016.12
632	2025-11-19	KOZANI (AIRPORT)	21	1018.3	2025-11-18	45	1015.86
632	2025-11-20	KOZANI (AIRPORT)	21	1016	2025-11-19	45	1013.94
632	2025-11-21	KOZANI (AIRPORT)	21	1015	2025-11-20	45	1012.17
632	2025-11-22	KOZANI (AIRPORT)	21	1014.9	2025-11-21	45	1013.99
632	2025-11-23	KOZANI (AIRPORT)	21	1020.4	2025-11-22	45	1019.4
632	2025-11-24	KOZANI (AIRPORT)	21	1020.8	2025-11-23	45	1019.45
632	2025-11-25	KOZANI (AIRPORT)	21	1013.2	2025-11-24	45	1012.12
632	2025-11-26	KOZANI (AIRPORT)	21	1012.3	2025-11-25	45	1010.26
632	2025-11-27	KOZANI (AIRPORT)	21	1014.7	2025-11-26	45	1011.7
632	2025-11-28	KOZANI (AIRPORT)	21	1014	2025-11-27	45	1012.78
632	2025-11-29	KOZANI (AIRPORT)	21	1013.1	2025-11-28	45	1012.12
632	2025-11-30	KOZANI (AIRPORT)	21	1019.1	2025-11-29	45	1018.19
641	2025-11-02	KERKYRA (AIRPORT)	21	1018.7	2025-11-01	45	1019.42
641	2025-11-03	KERKYRA (AIRPORT)	21	1017.6	2025-11-02	45	1018.49
641	2025-11-04	KERKYRA (AIRPORT)	21	1017.8	2025-11-03	45	1018.68
641	2025-11-05	KERKYRA (AIRPORT)	21	1017.4	2025-11-04	45	1017.51
641	2025-11-06	KERKYRA (AIRPORT)	21	1013.5	2025-11-05	45	1014.42
641	2025-11-07	KERKYRA (AIRPORT)	21	1012.7	2025-11-06	45	1013.77
641	2025-11-08	KERKYRA (AIRPORT)	21	1015.1	2025-11-07	45	1016.84
641	2025-11-09	KERKYRA (AIRPORT)	21	1013	2025-11-08	45	1014.4
641	2025-11-10	KERKYRA (AIRPORT)	21	1014.5	2025-11-09	45	1014.3
641	2025-11-11	KERKYRA (AIRPORT)	21	1017.8	2025-11-10	45	1018.39
641	2025-11-12	KERKYRA (AIRPORT)	21	1022.3	2025-11-11	45	1022.37
641	2025-11-13	KERKYRA (AIRPORT)	21	1022.7	2025-11-12	45	1023.06
641	2025-11-14	KERKYRA (AIRPORT)	21	1020.9	2025-11-13	45	1021.29
641	2025-11-15	KERKYRA (AIRPORT)	21	1018.6	2025-11-14	45	1019.03
641	2025-11-16	KERKYRA (AIRPORT)	21	1019.1	2025-11-15	45	1019.78
641	2025-11-17	KERKYRA (AIRPORT)	21	1015.3	2025-11-16	45	1015.82
641	2025-11-18	KERKYRA (AIRPORT)	21	1013.8	2025-11-17	45	1014.38
641	2025-11-19	KERKYRA (AIRPORT)	21	1013.5	2025-11-18	45	1013.85
641	2025-11-20	KERKYRA (AIRPORT)	21	1010.5	2025-11-19	45	1012.04
641	2025-11-21	KERKYRA (AIRPORT)	21	1011.1	2025-11-20	45	1012.23
641	2025-11-22	KERKYRA (AIRPORT)	21	1013.8	2025-11-21	45	1015.28
641	2025-11-23	KERKYRA (AIRPORT)	21	1019.6	2025-11-22	45	1020.73
641	2025-11-24	KERKYRA (AIRPORT)	21	1018.2	2025-11-23	45	1018.45
641	2025-11-25	KERKYRA (AIRPORT)	21	1009.4	2025-11-24	45	1009.81
641	2025-11-26	KERKYRA (AIRPORT)	21	1007	2025-11-25	45	1008.25
641	2025-11-27	KERKYRA (AIRPORT)	21	1009.6	2025-11-26	45	1010.65
641	2025-11-28	KERKYRA (AIRPORT)	21	1009.6	2025-11-27	45	1010.97
