obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
641	2025-11-03	KERKYRA (AIRPORT)	6	75	2025-11-03	6	99.9883
641	2025-11-04	KERKYRA (AIRPORT)	6	88	2025-11-04	6	99.3906
641	2025-11-05	KERKYRA (AIRPORT)	6	63	2025-11-05	6	0.0605469
641	2025-11-06	KERKYRA (AIRPORT)	6	0	2025-11-06	6	2.12695
641	2025-11-07	KERKYRA (AIRPORT)	6	50	2025-11-07	6	60.7695
641	2025-11-08	KERKYRA (AIRPORT)	6	75	2025-11-08	6	86.9961
641	2025-11-09	KERKYRA (AIRPORT)	6	88	2025-11-09	6	97.5059
641	2025-11-10	KERKYRA (AIRPORT)	6	88	2025-11-10	6	99.9902
641	2025-11-11	KERKYRA (AIRPORT)	6	50	2025-11-11	6	7.51562
641	2025-11-12	KERKYRA (AIRPORT)	6	13	2025-11-12	6	4.30078
641	2025-11-13	KERKYRA (AIRPORT)	6	13	2025-11-13	6	5.97852
641	2025-11-14	KERKYRA (AIRPORT)	6	0	2025-11-14	6	17.5234
641	2025-11-15	KERKYRA (AIRPORT)	6	38	2025-11-15	6	4.10156
641	2025-11-16	KERKYRA (AIRPORT)	6	50	2025-11-16	6	9.85742
641	2025-11-17	KERKYRA (AIRPORT)	6	88	2025-11-17	6	84.1758
641	2025-11-18	KERKYRA (AIRPORT)	6	100	2025-11-18	6	100
641	2025-11-19	KERKYRA (AIRPORT)	6	88	2025-11-19	6	100
641	2025-11-20	KERKYRA (AIRPORT)	6	88	2025-11-20	6	80.7129
641	2025-11-21	KERKYRA (AIRPORT)	6	75	2025-11-21	6	35.377
641	2025-11-22	KERKYRA (AIRPORT)	6	88	2025-11-22	6	95.7363
641	2025-11-23	KERKYRA (AIRPORT)	6	75	2025-11-23	6	55.4727
641	2025-11-24	KERKYRA (AIRPORT)	6	50	2025-11-24	6	24.1172
641	2025-11-25	KERKYRA (AIRPORT)	6	88	2025-11-25	6	99.957
641	2025-11-26	KERKYRA (AIRPORT)	6	88	2025-11-26	6	99.9961
641	2025-11-27	KERKYRA (AIRPORT)	6	100	2025-11-27	6	99.7168
641	2025-11-28	KERKYRA (AIRPORT)	6	88	2025-11-28	6	99.9629
641	2025-11-29	KERKYRA (AIRPORT)	6	75	2025-11-29	6	100
641	2025-11-30	KERKYRA (AIRPORT)	6	88	2025-11-30	6	94.6348
642	2025-11-01	IOANNINA (AIRPORT)	6	13	2025-11-01	6	98.7363
