obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
648	2025-11-08	LARISSA (AIRPORT)	3	88	2025-11-08	3	100
648	2025-11-09	LARISSA (AIRPORT)	3	88	2025-11-09	3	100
648	2025-11-10	LARISSA (AIRPORT)	3	75	2025-11-10	3	100
648	2025-11-11	LARISSA (AIRPORT)	3	38	2025-11-11	3	88.959
648	2025-11-12	LARISSA (AIRPORT)	3	50	2025-11-12	3	96.1484
648	2025-11-13	LARISSA (AIRPORT)	3	13	2025-11-13	3	0
648	2025-11-14	LARISSA (AIRPORT)	3	25	2025-11-14	3	11.8047
648	2025-11-15	LARISSA (AIRPORT)	3	25	2025-11-15	3	6.62891
648	2025-11-16	LARISSA (AIRPORT)	3	63	2025-11-16	3	58.1016
648	2025-11-17	LARISSA (AIRPORT)	3	13	2025-11-17	3	88.3594
648	2025-11-18	LARISSA (AIRPORT)	3	75	2025-11-18	3	100
648	2025-11-19	LARISSA (AIRPORT)	3	63	2025-11-19	3	100
648	2025-11-20	LARISSA (AIRPORT)	3	63	2025-11-20	3	100
648	2025-11-21	LARISSA (AIRPORT)	3	25	2025-11-21	3	42.0527
648	2025-11-22	LARISSA (AIRPORT)	3	25	2025-11-22	3	86.3887
648	2025-11-23	LARISSA (AIRPORT)	3	63	2025-11-23	3	15.043
648	2025-11-24	LARISSA (AIRPORT)	3	38	2025-11-24	3	0
648	2025-11-25	LARISSA (AIRPORT)	3	38	2025-11-25	3	51.4238
648	2025-11-26	LARISSA (AIRPORT)	3	63	2025-11-26	3	57.3066
648	2025-11-27	LARISSA (AIRPORT)	3	88	2025-11-27	3	100
648	2025-11-28	LARISSA (AIRPORT)	3	75	2025-11-28	3	100
648	2025-11-29	LARISSA (AIRPORT)	3	50	2025-11-29	3	93.4863
648	2025-11-30	LARISSA (AIRPORT)	3	25	2025-11-30	3	73.1602
650	2025-11-01	LIMNOS (AIRPORT)	3	50	2025-11-01	3	100
650	2025-11-02	LIMNOS (AIRPORT)	3	50	2025-11-02	3	67.9414
650	2025-11-03	LIMNOS (AIRPORT)	3	38	2025-11-03	3	100
650	2025-11-04	LIMNOS (AIRPORT)	3	63	2025-11-04	3	99.2539
650	2025-11-05	LIMNOS (AIRPORT)	3	88	2025-11-05	3	100
650	2025-11-06	LIMNOS (AIRPORT)	3	88	2025-11-06	3	85.3496
650	2025-11-07	LIMNOS (AIRPORT)	3	88	2025-11-07	3	89.8438
650	2025-11-08	LIMNOS (AIRPORT)	3	63	2025-11-08	3	68.0352
650	2025-11-09	LIMNOS (AIRPORT)	3	75	2025-11-09	3	100
650	2025-11-10	LIMNOS (AIRPORT)	3	88	2025-11-10	3	100
650	2025-11-11	LIMNOS (AIRPORT)	3	63	2025-11-11	3	3.45508
650	2025-11-12	LIMNOS (AIRPORT)	3	25	2025-11-12	3	35.916
650	2025-11-13	LIMNOS (AIRPORT)	3	13	2025-11-13	3	60.2793
650	2025-11-14	LIMNOS (AIRPORT)	3	25	2025-11-14	3	0
650	2025-11-15	LIMNOS (AIRPORT)	3	0	2025-11-15	3	49.8867
650	2025-11-16	LIMNOS (AIRPORT)	3	25	2025-11-16	3	83.4551
650	2025-11-17	LIMNOS (AIRPORT)	3	25	2025-11-17	3	60.625
650	2025-11-18	LIMNOS (AIRPORT)	3	63	2025-11-18	3	89.3867
650	2025-11-19	LIMNOS (AIRPORT)	3	75	2025-11-19	3	100
650	2025-11-20	LIMNOS (AIRPORT)	3	63	2025-11-20	3	94.8379
