obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	ecmwf_dates	ecmwf_td_table_h	ecmwf_td_table
650	2025-10-09	LIMNOS (AIRPORT)	6	12.75	2025-10-09	6	11.154
650	2025-10-10	LIMNOS (AIRPORT)	6	14.75	2025-10-10	6	15.0854
650	2025-10-11	LIMNOS (AIRPORT)	6	13.15	2025-10-11	6	13.5358
650	2025-10-12	LIMNOS (AIRPORT)	6	9.95	2025-10-12	6	10.4472
650	2025-10-13	LIMNOS (AIRPORT)	6	9.65	2025-10-13	6	9.95305
650	2025-10-14	LIMNOS (AIRPORT)	6	13.75	2025-10-14	6	12.9523
650	2025-10-15	LIMNOS (AIRPORT)	6	13.25	2025-10-15	6	12.6952
650	2025-10-16	LIMNOS (AIRPORT)	6	12.75	2025-10-16	6	12.0402
650	2025-10-17	LIMNOS (AIRPORT)	6	13.25	2025-10-17	6	12.3322
650	2025-10-18	LIMNOS (AIRPORT)	6	13.45	2025-10-18	6	14.9988
650	2025-10-19	LIMNOS (AIRPORT)	6	15.65	2025-10-19	6	14.8622
650	2025-10-20	LIMNOS (AIRPORT)	6	11.45	2025-10-20	6	11.1452
650	2025-10-21	LIMNOS (AIRPORT)	6	11.65	2025-10-21	6	12.2165
650	2025-10-22	LIMNOS (AIRPORT)	6	11.45	2025-10-22	6	13.892
650	2025-10-23	LIMNOS (AIRPORT)	6	16.95	2025-10-23	6	16.5492
650	2025-10-24	LIMNOS (AIRPORT)	6	18.45	2025-10-24	6	17.9201
