obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
627	2025-09-11	0	19.24	ALEXANDROUPOLI (AIRPORT)	2025-09-09	48	21.4152	ALEXANDROUPOLI (AIRPORT)
627	2025-09-12	0	19.74	ALEXANDROUPOLI (AIRPORT)	2025-09-10	48	22.3759	ALEXANDROUPOLI (AIRPORT)
627	2025-09-13	0	22.94	ALEXANDROUPOLI (AIRPORT)	2025-09-11	48	21.9445	ALEXANDROUPOLI (AIRPORT)
627	2025-09-14	0	20.74	ALEXANDROUPOLI (AIRPORT)	2025-09-12	48	21.1447	ALEXANDROUPOLI (AIRPORT)
627	2025-09-15	0	18.74	ALEXANDROUPOLI (AIRPORT)	2025-09-13	48	19.5153	ALEXANDROUPOLI (AIRPORT)
627	2025-09-16	0	18.44	ALEXANDROUPOLI (AIRPORT)	2025-09-14	48	19.4196	ALEXANDROUPOLI (AIRPORT)
627	2025-09-17	0	15.64	ALEXANDROUPOLI (AIRPORT)	2025-09-15	48	20.1029	ALEXANDROUPOLI (AIRPORT)
627	2025-09-18	0	17.94	ALEXANDROUPOLI (AIRPORT)	2025-09-16	48	20.3158	ALEXANDROUPOLI (AIRPORT)
627	2025-09-19	0	16.64	ALEXANDROUPOLI (AIRPORT)	2025-09-17	48	17.3688	ALEXANDROUPOLI (AIRPORT)
627	2025-09-20	0	14.94	ALEXANDROUPOLI (AIRPORT)	2025-09-18	48	17.5436	ALEXANDROUPOLI (AIRPORT)
627	2025-09-21	0	19.94	ALEXANDROUPOLI (AIRPORT)	2025-09-19	48	19.444	ALEXANDROUPOLI (AIRPORT)
627	2025-09-22	0	19.24	ALEXANDROUPOLI (AIRPORT)	2025-09-20	48	18.9775	ALEXANDROUPOLI (AIRPORT)
627	2025-09-23	0	19.64	ALEXANDROUPOLI (AIRPORT)	2025-09-21	48	19.0129	ALEXANDROUPOLI (AIRPORT)
627	2025-09-24	0	15.94	ALEXANDROUPOLI (AIRPORT)	2025-09-22	48	18.2189	ALEXANDROUPOLI (AIRPORT)
627	2025-09-26	0	18.74	ALEXANDROUPOLI (AIRPORT)	2025-09-24	48	18.911	ALEXANDROUPOLI (AIRPORT)
627	2025-09-27	0	17.44	ALEXANDROUPOLI (AIRPORT)	2025-09-25	48	16.5971	ALEXANDROUPOLI (AIRPORT)
627	2025-09-28	0	15.44	ALEXANDROUPOLI (AIRPORT)	2025-09-26	48	15.7311	ALEXANDROUPOLI (AIRPORT)
627	2025-09-29	0	15.44	ALEXANDROUPOLI (AIRPORT)	2025-09-27	48	17.5905	ALEXANDROUPOLI (AIRPORT)
627	2025-09-30	0	12.94	ALEXANDROUPOLI (AIRPORT)	2025-09-28	48	16.2597	ALEXANDROUPOLI (AIRPORT)
632	2025-09-03	0	17.74	KOZANI (AIRPORT)	2025-09-01	48	20.9872	KOZANI (AIRPORT)
632	2025-09-05	0	19.94	KOZANI (AIRPORT)	2025-09-03	48	19.039	KOZANI (AIRPORT)
632	2025-09-06	0	17.64	KOZANI (AIRPORT)	2025-09-04	48	17.8734	KOZANI (AIRPORT)
632	2025-09-07	0	18.24	KOZANI (AIRPORT)	2025-09-05	48	17.4755	KOZANI (AIRPORT)
632	2025-09-08	0	15.64	KOZANI (AIRPORT)	2025-09-06	48	16.7548	KOZANI (AIRPORT)
632	2025-09-09	0	16.24	KOZANI (AIRPORT)	2025-09-07	48	18.1283	KOZANI (AIRPORT)
632	2025-09-10	0	17.74	KOZANI (AIRPORT)	2025-09-08	48	17.8197	KOZANI (AIRPORT)
632	2025-09-11	0	18.24	KOZANI (AIRPORT)	2025-09-09	48	19.5089	KOZANI (AIRPORT)
632	2025-09-12	0	16.44	KOZANI (AIRPORT)	2025-09-10	48	18.3446	KOZANI (AIRPORT)
632	2025-09-13	0	20.24	KOZANI (AIRPORT)	2025-09-11	48	18.5109	KOZANI (AIRPORT)
632	2025-09-14	0	18.44	KOZANI (AIRPORT)	2025-09-12	48	19.2355	KOZANI (AIRPORT)
632	2025-09-15	0	17.24	KOZANI (AIRPORT)	2025-09-13	48	18.1579	KOZANI (AIRPORT)
632	2025-09-16	0	17.24	KOZANI (AIRPORT)	2025-09-14	48	18.1315	KOZANI (AIRPORT)
632	2025-09-17	0	17.44	KOZANI (AIRPORT)	2025-09-15	48	18.0775	KOZANI (AIRPORT)
632	2025-09-18	0	14.94	KOZANI (AIRPORT)	2025-09-16	48	15.7943	KOZANI (AIRPORT)
632	2025-09-19	0	13.94	KOZANI (AIRPORT)	2025-09-17	48	14.0768	KOZANI (AIRPORT)
632	2025-09-20	0	14.74	KOZANI (AIRPORT)	2025-09-18	48	15.1471	KOZANI (AIRPORT)
632	2025-09-21	0	14.14	KOZANI (AIRPORT)	2025-09-19	48	15.0446	KOZANI (AIRPORT)
632	2025-09-22	0	13.74	KOZANI (AIRPORT)	2025-09-20	48	14.6601	KOZANI (AIRPORT)
632	2025-09-23	0	13.64	KOZANI (AIRPORT)	2025-09-21	48	15.5783	KOZANI (AIRPORT)
632	2025-09-24	0	14.44	KOZANI (AIRPORT)	2025-09-22	48	15.5421	KOZANI (AIRPORT)
632	2025-09-26	0	17.14	KOZANI (AIRPORT)	2025-09-24	48	18.0546	KOZANI (AIRPORT)
632	2025-09-27	0	15.74	KOZANI (AIRPORT)	2025-09-25	48	16.2436	KOZANI (AIRPORT)
632	2025-09-28	0	13.94	KOZANI (AIRPORT)	2025-09-26	48	14.4987	KOZANI (AIRPORT)
632	2025-09-29	0	11.64	KOZANI (AIRPORT)	2025-09-27	48	13.2331	KOZANI (AIRPORT)
632	2025-09-30	0	12.24	KOZANI (AIRPORT)	2025-09-28	48	14.0702	KOZANI (AIRPORT)
641	2025-09-03	0	22.44	KERKYRA (AIRPORT)	2025-09-01	48	24.9276	KERKYRA (AIRPORT)
641	2025-09-04	0	21.94	KERKYRA (AIRPORT)	2025-09-02	48	23.4472	KERKYRA (AIRPORT)
641	2025-09-05	0	23.64	KERKYRA (AIRPORT)	2025-09-03	48	25.0107	KERKYRA (AIRPORT)
641	2025-09-06	0	22.44	KERKYRA (AIRPORT)	2025-09-04	48	24.8188	KERKYRA (AIRPORT)
641	2025-09-07	0	22.24	KERKYRA (AIRPORT)	2025-09-05	48	24.4462	KERKYRA (AIRPORT)
641	2025-09-08	0	21.74	KERKYRA (AIRPORT)	2025-09-06	48	23.5429	KERKYRA (AIRPORT)
